Email,Name,Role(s),Active
test-123@gmail.com,Tin Cooper,ROLE_HEI_USER,Yes
test-456@gmail.com,John Sampson,ROLE_HEI_USER,Yes
test2@gmail.com,Billy Cooper,ROLE_HEI_USER,Yes
testsds+test100@gmail.com,Liam Cooper,ROLE_HEI_USER,Yes
sdsdsdr+3000@gmail.com,Marcelo Bielsa,ROLE_PROCESSOR,No
nhs.nhsbsa+1@gmail.com,Role Processor,ROLE_PROCESSOR,Yes
nhs.nhsbsa+3@gmail.com,Role ManSupport,ROLE_MANAGEMENT_SUPPORT,Yes
nhs.nhsbsa+5@gmail.com,Role CallCentre,ROLE_CALL_CENTRE,Yes
nhs.nhsbsa+6@gmail.com,Role CallManager,ROLE_CALL_CENTRE_MANAGER,Yes
nhs.nhsbsa+7@gmail.com,Role Finance,ROLE_FINANCE,Yes
nhs.nhsbsa+8@gmail.com,Role SuperUser,ROLE_SUPER_USER,Yes
nhs.nhsbsa+9@gmail.com,Role HeiUser,ROLE_HEI_USER,Yes
nhs.nhsbsa+10@gmail.com,Role HeiAdmin,ROLE_HEI_ADMIN,Yes
michael.lee7@nhs.net,Michael Lee,ROLE_SUPER_USER,Yes
nhs.nhsbsa+4@gmail.com,Role TeamManager,ROLE_TEAM_MANAGER,Yes
nhs.nhsbsa+2@gmail.com,Role TechSupport,ROLE_TECHNICAL_SUPPORT_OFFICER,Yes
NHSBSAUAT+hei1@gmail.com,Hei One,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei2@gmail.com,Hei Two,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei3@gmail.com,Hei Three,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei4@gmail.com,Hei Four,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei5@gmail.com,Hei Five,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei6@gmail.com,Hei Six,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei7@gmail.com,Hei Seven,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei8@gmail.com,Hei Eight,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei9@gmail.com,Hei Nine,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei10@gmail.com,Hei Ten,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei11@gmail.com,Hei Eleven,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei12@gmail.com,Hei Twelve,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei13@gmail.com,Hei Thirteen,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei14@gmail.com,Hei Fourteen,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei15@gmail.com,Hei Fifteen,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei16@gmail.com,Hei Sixteen,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei17@gmail.com,Hei Seventeen,ROLE_HEI_ADMIN,Yes
NHSBSAUAT+hei18@gmail.com,Hei Eighteen,ROLE_HEI_ADMIN,Yes
